Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Standard Deviation
0x36078cfbc16dd4ce898547c03ea16122d5f7f02a61dd0e94166199cb446d6da5,12369792,1620158679,5/4/2021 20:04,0x156d3129b2fd634d5b0817132401aa68b0126098,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,14427.13928,-1477.500939
0x142b832629be02e93e33c9a3a6386ad40927c170c775f22036a9c5e47f1b464c,12369792,1620158679,5/4/2021 20:04,0x8b970308e8935bd874166c7a252bb8f4c39b03b5,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,10000,1039.240881
0x5ec55fdb9cc365467a6b51b2714d9877f98380f86884f4b6d535be57c658586a,12369798,1620158773,5/4/2021 20:06,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x205f354e2ed4f41fa9747a5aad009460753c3f65,4692.9534,-74843.0552
0x867f9ef1c25252fab63b15889463306568a5c1a00aa9e4a83bd6d570316585fb,12369800,1620158790,5/4/2021 20:06,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xbd7041c03b68467a55596f375c3e4bb716406a23,3536.18201,66057.66894
0x8be2e0cc7487148b681a8a549f562e28e6fdcff05ea20e521020bfa20f9fd2a3,12369804,1620158818,5/4/2021 20:06,0xd9143f49d3025bf87ae46551546a02f4e1a07bec,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,5000,12659.55098
0x0571e563aaac0989c418725d5f5471e0d38631c1ec7464150ec9cc0310779413,12369811,1620158865,5/4/2021 20:07,0xc15792b8578fc26c10de7f88191ecff579151866,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,2960.189603,73117.03136
0xf6eeb69b1a41dc4db0f6bb01e88e1338ced33a8d2d61653d3a6e5dbf4c7b1548,12369811,1620158865,5/4/2021 20:07,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xb741a8d41c15ff1411283ae1d866ae79a5351f1f,8072.630159,67516.22639
0xf0187fb3c72e47832e379ff4389052aaf12ee174027e13d7d3614a686149995a,12369815,1620158896,5/4/2021 20:08,0xd9143f49d3025bf87ae46551546a02f4e1a07bec,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,5000,47043.24083
0x156e732628e3f1a6f3d01ba3abd4c8e2c369efbe2dbbcc9811d683e76fa9e34d,12369815,1620158896,5/4/2021 20:08,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xa679a45e9fde61846afac70c321248ad097b47b7,6531.032893,-18827.88739
0x977a978fa1a7789a1df310b6a6217de4549914e354ba6f9efa63a80d3dcbc51c,12369818,1620158967,5/4/2021 20:09,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x9282dc5c422fa91ff2f6ff3a0b45b7bf97cf78e7,7156.725762,38314.27317
0x459c83697b8e89556267b7e87f32fb63a987a8a199261539849c7cbf1127951b,12369818,1620158967,5/4/2021 20:09,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x66a41cbab444ac3eb6bab8440859d56d493f2693,5360.405512,90641.32053
0x9fbf984dfec288c9936a5281f18438387f5171c04032cb06e64aeaad3f7f938d,12369818,1620158967,5/4/2021 20:09,0x9282dc5c422fa91ff2f6ff3a0b45b7bf97cf78e7,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,7156.725762,-41379.44208
0xebb226be095d982691bb9ef24bf0785a59d0a348b8cf57eb8a484e10a959bba3,12369820,1620158972,5/4/2021 20:09,0xd9143f49d3025bf87ae46551546a02f4e1a07bec,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,5000,-4305.27132
0xf5898c779c95cf7663594bcb197a50defdd21fab8f86fd0b600402f09112aa6b,12369825,1620159026,5/4/2021 20:10,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x583beb8b6b4df3a477bbc2b4edb9405c2d4944d2,871.0502174,-247.0910999
0x9bd0eef5f1875cc2d208371ab4c7b05b95293a0ed8d4580242363782d2706dee,12369825,1620159026,5/4/2021 20:10,0x8b970308e8935bd874166c7a252bb8f4c39b03b5,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,10000,-148.5012235
0xea288b5389bd38f3cfda3fbbef25465211a2575e4f770eeb2adf6d58221c13c2,12369828,1620159072,5/4/2021 20:11,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x9282dc5c422fa91ff2f6ff3a0b45b7bf97cf78e7,9484.968069,16273.01313
0xc940076bd34bcc9df28e6248005d1ea2486a5c57ace1b534be8419a6a79254e6,12369828,1620159072,5/4/2021 20:11,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xbffafd0d497a2e47f2e41cd18d53dd5091233991,7084.735005,13869.99739
0x5ac74feb6a0537d52e9c808dc2c24693648999ac581f91717158a0dce7b60667,12369828,1620159072,5/4/2021 20:11,0x9282dc5c422fa91ff2f6ff3a0b45b7bf97cf78e7,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,9484.968069,27493.1547
0x92ae9d50bca83bebd2a2260a166f8badd09cf9aaa4442fb91d2f5c5d8e981262,12369833,1620159109,5/4/2021 20:11,0x78c49a9ff270562f0aaea3e54c12d5841acdf599,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,10000,60918.47732
0x4125480b8ca8bea25f64c90f1b00224f7ae356667ff23d81dcf091dd0d025991,12369839,1620159164,5/4/2021 20:12,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xd67e097a365aeddc59afbadcaddae9ad57552698,10834.84283,7992.322597
0x6d8ec3398797e4d3dbe820227a82698171b923ebbf9807112f2356cca95235c2,12369846,1620159289,5/4/2021 20:14,0xd5435e8e51ff93276baee1f390265d5e35877d48,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,3949.398098,10989.90484
0x0f433138b2a8f2997ef387ffcebec7cd204ab2053c43f8d4a6efaa74eddc0e0c,12369849,1620159318,5/4/2021 20:15,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,14897.18839,6812.353138
0x29b036130b951e2c46c37b02e5b7f3e37d31bcfc8dc8eafc83370445f0803ba0,12369852,1620159346,5/4/2021 20:15,0x89fcb042d49e520b7bf1294bbd26f065b4531b99,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,6000,-21208.85336
0x8679b9b4dfabbd4a4bc365c2288afeb4c940d8d9470fa7f557ff0b7ff96abf2d,12369855,1620159372,5/4/2021 20:16,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x01b3d7417628b49d5835e7ec3d0b83100cad77a5,1714.66539,90605.97545
0xbdb7f521c40e127fc0d4020d46dc5087ee407060a4b31f9fef6c3c655490dc84,12369860,1620159439,5/4/2021 20:17,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x1399a4e68d94918025096fcafa1e36059fb10f1e,8006.890301,-41056.26365
0x0805d798ab0ccdf58c3679e9306fa98af26cacb482557845d4e1183d7bf10880,12369861,1620159456,5/4/2021 20:17,0x3f60008dfd0efc03f476d9b489d6c5b13b3ebf2c,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,2369.638859,77521.09432
0x72869a279ee957b5b8afeff1be4b3c664b6199004ac6c996b4beef96deb99087,12369863,1620159478,5/4/2021 20:17,0x8b970308e8935bd874166c7a252bb8f4c39b03b5,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,7399.846674,15306.70962
0xaad672e10c9340804fbe8128b248b87914278e10f194df5979d566e3b25425f9,12369873,1620159628,5/4/2021 20:20,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x73641ee05a9d6a8a23d3188ea13b690a078eac05,20000,8218.915678
0xee1956d45a171889367a164c8186ab756f08d1e435f6d0084d043540ba070aa9,12369873,1620159628,5/4/2021 20:20,0x170ae47ba9b913c33f038aa011b5b83935e86091,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,5760.466533,77104.31687
0x8f7370de8a4848a30b3dbd3fa9fc053c2110ec3b8ab4339e14ff5f795a05f683,12369877,1620159661,5/4/2021 20:21,0xd3432463cf264f4def759ca6f8843d47dd00b2fd,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,9000,76328.03409
